customer_id,name,email,age,salary
1,John Doe,john@example.com,25,50000
2,Alice Smith,alice@example.com,31,65000
3,Bob,bob@example.com,45,72000
4,Li,li@example.com,28,40000
5,ChristopherJonathanAlexanderSmith,christopher@example.com,35,90000
6,Emily,emily.example.com,29,45000
7,David,,42,58000
8,,olivia@example.com,27,52000
9,Emma Watson,emma@example.com,17,38000
10,James Bond,james@example.com,61,120000
11,Sophia,sophia@example.com,32,-1000
12,Michael,michael@example.com,22,47000
13,Emma Watson,emma@example.com,25,55000
13,Duplicate ID,duplicate@example.com,30,60000
15,Lucas,lucas@example,26,49000
16,Ava Johnson,ava@example.com,,51000
17,Noah Williams,noah@example.com,55,0
18,Isabella,isabella@example.com,18,25000
19,Ethan Brown,ethan@example.com,60,100000
20,Mia Davis,mia@example.com,40,75000
